road,id,model_type,name,lat,lon,length,chainage,condition
N2,201898,link,link 952,24.0442407392601,91.062664252272,1054.0,80.477,
N2,201899,bridge,bridge 942,24.0448417137254,91.0678533509803,9.5,81.004,A
N2,201900,link,link 953,24.04509244233565,91.0698089357097,409.0,81.2085,
N2,201901,bridge,bridge 943,24.0453431709459,91.0717645204391,6.1,81.413,A
N2,201902,link,link 954,24.046424634497125,91.08059824669125,1578.0,82.202,
N2,201903,bridge,bridge 944,24.047506098048352,91.0894319729434,6.9,82.991,B
N2,201904,link,link 955,24.048203026971528,91.0952395704717,1428.0,83.705,
N2,201905,bridge,bridge 945,24.0488999558947,91.101047168,3.6,84.419,A
N2,201906,link,link 956,24.05293875928065,91.1080499303333,1945.0,85.39150000000001,
N2,201907,bridge,bridge 946,24.0569775626666,91.1150526926666,22.68,86.364,C
N2,201908,link,link 957,24.0573593623939,91.11957398724235,1001.0,86.86449999999999,
N2,201909,bridge,bridge 947,24.0577411621212,91.1240952818181,3.0,87.365,A
N2,201910,link,link 958,24.057105061894852,91.12883041565536,977.0,87.8535,
N2,201911,bridge,bridge 948,24.0564689616685,91.1335655494926,13.725,88.342,C
N2,201912,link,link 959,24.055995587366098,91.13725576113819,758.0,88.721,
N2,201913,bridge,bridge 949,24.0555222130637,91.1409459727838,20.25,89.1,A
N2,201914,link,link 960,24.0551625512064,91.14356824940964,540.0,89.37,
N2,201915,bridge,bridge 950,24.0548028893491,91.1461905260355,43.44,89.64,C
N2,201916,link,link 961,24.05427329032115,91.15064126685894,912.0,90.096,
N2,201917,bridge,bridge 951,24.0537436912932,91.1550920076824,4.1,90.552,B
N2,201918,link,link 962,24.053336180154652,91.15846536845206,694.0,90.899,
N2,201919,bridge,bridge 952,24.0529286690161,91.1618387292217,42.275,91.246,C
N2,201920,link,link 963,24.0526234348039,91.16431469064635,510.0,91.501,
N2,201921,bridge,bridge 953,24.0523182005917,91.166790652071,12.0,91.756,A
N2,201922,link,link 964,24.05230932485205,91.1668507869822,12.0,91.762,
N2,201923,bridge,bridge 954,24.0523004491124,91.1669109218934,10.45,91.768,A
N2,201924,link,link 965,24.050666480290452,91.17089561388374,905.0,92.2205,
N2,201925,bridge,bridge 955,24.0490325114685,91.1748803058741,203.15,92.673,C
N2,201926,link,link 966,24.0467465482463,91.17606446839595,626.0,92.986,
N2,201927,bridge,bridge 956,24.0444605850241,91.1772486309178,26.575,93.299,C
N2,201928,link,link 967,24.04362563054195,91.18153553328929,985.0,93.79150000000001,
N2,201929,bridge,bridge 957,24.0427906760598,91.1858224356608,4.0,94.284,C
N2,201930,link,link 968,24.042865434009798,91.1907870959711,1001.0,94.78450000000001,
N2,201931,bridge,bridge 958,24.0429401919598,91.1957517562814,10.4,95.285,A
N2,201932,link,link 969,24.0430087300005,91.19814501370769,489.0,95.5295,
N2,201933,bridge,bridge 959,24.0430772680412,91.200538271134,10.4,95.774,A
N2,201934,link,link 970,24.043023754238497,91.20254415542169,418.0,95.983,
